,h_nei_0.1_mean,h_nei_0.2_mean,h_nei_0.3_mean,h_nei_0.4_mean,h_nei_0.5_mean,h_nei_0.6_mean,h_nei_0.7_mean,h_nei_0.8_mean,h_nei_0.9_mean
0,0.0553538799285888,0.0022070407867431,0.0118031501770019,0.0029945373535156,0.0105702877044677,0.0027225017547607,0.0021197795867919,0.002535343170166,0.0021452903747558
1,0.0744304656982421,4.492882966995239,0.002342939376831,0.0023221969604492,0.0027275085449218,0.0024664402008056,0.0028836727142333,0.0023484230041503,0.0023510456085205
2,0.149409532546997,0.0204780101776123,0.0120353698730468,0.014941930770874,0.0104463100433349,0.002760887145996,0.0025184154510498,0.0026419162750244,0.0037410259246826
3,0.307708740234375,0.0052931308746337,2.921517133712769,0.0367722511291503,0.002739667892456,0.0026450157165527,0.0044548511505126,0.0033009052276611,0.002716064453125
4,1.1749200820922852,0.0102338790893554,0.0350372791290283,0.0032854080200195,0.0028226375579833,0.0048248767852783,0.0030105113983154,0.002988576889038,0.0028598308563232
5,0.9351882934570312,0.1101484298706054,0.0030004978179931,0.0433814525604248,0.2122499942779541,2.433614730834961,0.0030374526977539,0.0030112266540527,0.0031962394714355
6,12.282061338424684,1341.8622777462006,0.0079185962677001,0.0056629180908203,0.0032627582550048,0.0032269954681396,0.0032515525817871,0.0039589405059814,0.0031099319458007
7,46.45204758644104,0.0054497718811035,0.00333833694458,0.0035235881805419,0.003669261932373,0.0033612251281738,0.0034422874450683,0.003455638885498,0.0033736228942871
8,21.15683603286743,1.792318344116211,0.0035395622253417,0.0220699310302734,0.0167500972747802,0.0044696331024169,0.0036208629608154,0.0035827159881591,0.0038385391235351
9,0.0038025379180908,2.468100070953369,0.0037295818328857,0.005913496017456,0.0037879943847656,0.0041286945343017,0.0037677288055419,0.0042204856872558,0.0037336349487304
