,h_nxts_0.1_mean,h_nxts_0.2_mean,h_nxts_0.3_mean,h_nxts_0.4_mean,h_nxts_0.5_mean,h_nxts_0.6_mean,h_nxts_0.7_mean,h_nxts_0.8_mean,h_nxts_0.9_mean
0,0.0003232955932617,0.043041706085205,0.1240601539611816,0.0007002353668212,0.0001530647277832,0.0295703411102294,0.0001161098480224,0.0001225471496582,0.0002455711364746
1,0.0081648826599121,4.053244113922119,0.0056378841400146,0.8378360271453857,0.0017995834350585,0.0002486705780029,0.0053274631500244,0.0001742839813232,0.0018236637115478
2,0.001047134399414,0.0996797084808349,19.029947996139526,0.0158576965332031,0.0074963569641113,0.0002291202545166,0.0024225711822509,0.0002088546752929,0.000213623046875
3,0.0110905170440673,0.0564289093017578,0.1382617950439453,2.4941837787628174,0.0094590187072753,0.0024383068084716,0.0003120899200439,0.0002326965332031,0.0001685619354248
4,0.008430004119873,0.3497710227966308,0.0074174404144287,0.0011806488037109,0.0001468658447265,0.0003151893615722,0.0067687034606933,0.000472068786621,0.0003383159637451
5,0.0091140270233154,0.388970136642456,2.242159605026245,0.0015709400177001,1.2746939659118652,0.0011489391326904,0.000364065170288,0.6727478504180908,0.0002133846282958
6,0.071373701095581,0.0020151138305664,184.3799433708191,0.0418939590454101,0.0007004737854003,0.0046644210815429,0.0002355575561523,0.0034632682800292,0.0008978843688964
7,0.0193846225738525,4.575995445251465,0.8224823474884033,0.000516653060913,0.0178315639495849,0.002150535583496,0.0005967617034912,0.0004603862762451,0.0010004043579101
8,0.0269136428833007,9.567821264266968,0.0911815166473388,0.6046469211578369,0.1578919887542724,0.000694990158081,0.0007238388061523,0.0007376670837402,0.000209093093872
9,0.177910566329956,289.1436038017273,0.0318849086761474,118.74732971191406,0.0327944755554199,0.0012903213500976,0.0004613399505615,0.0003120899200439,0.0002050399780273
