,Tworzenie drzewa AVL,Tworzenie drzewa BST,std_BST,std_AVL
0,0.01834713370000003,2.4336534671,0.053682446283923546,0.006857437048756838
0,0.038695890099995724,10.254779119700002,0.2155289145741911,0.010626152705866004
0,0.05779730010001458,23.716717048099998,0.5698775025080478,0.011204464488921432
0,0.07984260890000314,44.503877528500006,1.6078788135287023,0.010170462646493298
0,0.1012924735000297,77.3425061257,3.842255532698176,0.009153649391205335
0,0.12787738179999905,116.71285020209992,10.479064466417809,0.012232433782221826
0,0.14898358239997833,168.30940693810004,19.17601399375762,0.01351001888367394
0,0.1716690135001045,222.47878296439995,23.342045173636205,0.013946147426543407
0,0.20070759859954707,300.51440555529973,34.981588571688434,0.009417787648242316
0,0.22533893719974002,359.26154900969993,45.012616070493536,0.011337305443088107
